749d50 gen_pool_first_fit_order_align
749df0 gen_pool_get
749e80 gen_pool_destroy
749fb0 gen_pool_best_fit
74a090 of_gen_pool_get
74a324 gen_pool_alloc_algo_owner
74a690 gen_pool_dma_alloc
74a6b0 gen_pool_dma_alloc_align
74a750 devm_gen_pool_create
74a890 gen_pool_dma_zalloc_align
74a954 gen_pool_add_owner
74aa80 gen_pool_free_owner
769540 textsearch_destroy
769590 textsearch_find_continuous
769600 textsearch_register
769720 textsearch_unregister
769820 textsearch_prepare
769c94 percpu_counter_add_batch
769d60 percpu_counter_set
769e60 __percpu_counter_sum
769f40 __percpu_counter_compare
769fb4 __percpu_counter_init
76a060 percpu_counter_destroy
76a0e0 percpu_counter_sync
76a5f0 within_error_injection_list
76a890 task_current_syscall
76b260 __dynamic_ibdev_dbg
76b4d0 __dynamic_pr_debug
76b594 __dynamic_dev_dbg
76bf60 dynamic_debug_exec_queries
76c340 __dynamic_netdev_dbg
76c640 ddebug_add_module
76c7f4 ddebug_remove_module
76c8e0 errname
76c9a0 nla_policy_len
76cad4 nla_find
76cb30 nla_memcpy
76cba0 nla_strscpy
76cc60 nla_strdup
76cce0 nla_strcmp
76cd60 __nla_reserve
76ce20 __nla_reserve_64bit
76ce94 __nla_put_64bit
76cf30 __nla_put
76cfc0 __nla_put_nohdr
76d0b0 nla_append
76d120 __nla_reserve_nohdr
76d164 nla_reserve_nohdr
76def0 __nla_validate
76df14 __nla_parse
76dfa0 csum_partial
76dfd0 ip_compute_csum
76dff0 alloc_cpu_rmap
76e110 cpu_rmap_put
76e330 cpu_rmap_update
76e720 irq_cpu_rmap_add
77a6c4 digsig_verify
77b120 mac_pton
77b400 sg_split
77b980 memregion_alloc
77b9b0 memregion_free
77ba60 stmp_reset_block
77bc70 irq_poll_disable
77bfd0 irq_poll_complete
77c150 asn1_ber_decoder
77d2a0 asn1_encode_oid
77d4e0 asn1_encode_octet_string
77d5c0 asn1_encode_tag
77d750 asn1_encode_sequence
77db90 look_up_OID
77de80 sprint_oid
77e200 ucs2_strncmp
77e5b4 __ubsan_handle_type_mismatch_v1
77e630 __ubsan_handle_alignment_assumption
77e710 __ubsan_handle_load_invalid_value
77e7a0 __ubsan_handle_shift_out_of_bounds
77e8f0 __ubsan_handle_out_of_bounds
77e980 __ubsan_handle_divrem_overflow
77ea40 __ubsan_handle_type_mismatch
77ec50 sbitmap_queue_wake_all
77ecd0 sbitmap_init_node
77ef84 sbitmap_queue_init_node
77f1b0 sbitmap_weight
77f1f0 sbitmap_queue_min_shallow_depth
77f490 sbitmap_show
77f580 sbitmap_queue_show
77f880 sbitmap_resize
77f9a4 sbitmap_queue_resize
77fa10 sbitmap_finish_wait
77fae0 sbitmap_get
77fe04 __sbitmap_queue_get
77ff00 sbitmap_get_shallow
780204 __sbitmap_queue_get_shallow
780390 sbitmap_queue_wake_up
7803d0 sbitmap_queue_clear
781510 devmem_is_allowed
781e94 __const_udelay
784b40 argv_free
784b74 argv_split
784cc0 module_bug_finalize
784ed0 report_bug
785000 generic_bug_clear_once
785280 build_id_parse
7854a0 build_id_parse_buf
7854f0 get_option
7855c0 memparse
785800 next_arg
785960 parse_option_str
785a20 cpumask_next_and
785a60 cpumask_next_wrap
785b00 cpumask_any_but
785b70 cpumask_next
785d84 cpumask_any_and_distribute
785e34 cpumask_any_distribute
785f90 _atomic_dec_and_lock
786090 _atomic_dec_and_lock_irqsave
786230 dump_stack_print_info
786350 show_regs_print_info
786370 find_cpio_data
7866a0 sort_extable
786784 search_extable
786860 fdt_header_size_
786be0 fdt_check_node_offset_
786c30 fdt_check_prop_offset_
786c80 fdt_next_node
786da4 fdt_first_subnode
786ea0 fdt_find_string_
787154 fdt_appendprop_addrrange
787440 fdt_get_string
787730 fdt_get_mem_rsv
7877b0 fdt_num_mem_rsv
787800 fdt_get_name
7878c4 fdt_subnode_offset_namelen
787a30 fdt_first_property_offset
787ad0 fdt_next_property_offset
787c10 fdt_get_property
787ca0 fdt_getprop_namelen
787d40 fdt_path_offset_namelen
787ea0 fdt_path_offset
787ee0 fdt_getprop_by_offset
787fd0 fdt_getprop
788030 fdt_get_phandle
788160 fdt_generate_phandle
7881f4 fdt_get_alias_namelen
788270 fdt_get_alias
